feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Enterococcus	Location	Urban	-1.0259982807255	0.172595290179002	114	79	2.05106589021303e-07	0.000161829098737808
Streptococcus	EntColi	TRUE	-0.796228185161907	0.186150682451199	114	99	4.12828045520453e-05	0.0162860663957819
Collinsella	AgeC	AgeC	0.21627488446319	0.0511579677921914	114	64	8.2190097259621e-05	0.0216159955792803
Butyrivibrio	Location	Urban	0.839141418978259	0.214860946721074	114	58	0.000243116118845659	0.0473835719777709
Escherichia.Shigella	AgeC	AgeC	-0.972909519108601	0.250747316719023	114	112	0.000300276121532135	0.0473835719777709
Mitsuokella	AgeC	AgeC	0.236608651307542	0.065628801098426	114	61	0.000632159675200062	0.0831289972888082
Bifidobacterium	AgeC	AgeC	0.206222244465501	0.0586708011174469	114	113	0.000864191140128316	0.0919348030839792
Lachnospiraceae_UCG.001	AgeC	AgeC	0.187682459566501	0.0540142877300313	114	57	0.000932165303766583	0.0919348030839792
