Group3	count	age_mean	age_sd	male	female	height_mean	height_sd	weight_mean	weight_sd	BMI_mean	BMI_sd	headCirc_mean	headCirc_sd	cSec_n	cSec_perc	sinceDiv_mean	sinceDiv_sd	weaned_n	weaned_perc
1	Rural.Child.1	30	3	1.7	19	10	60.6	6.3	5.8	1.7	15.4	2	39.9	3.2	1	3.3	0	0	0	0
2	Urban.Child.1	30	2.6	1.6	17	13	58.6	5.6	5.6	1.7	16	2.5	39.5	2.6	1	3.3	0	0	0	0
3	Rural.Child.2	27	14.8	1.7	17	9	78.3	4.4	9.3	1.4	15.2	1.8	45.6	1.7	1	3.7	9	2.6	1	3.7
4	Urban.Child.2	27	14.5	1.9	16	11	74.2	3.4	9.4	1.3	17	1.7	45.9	1.2	0	0	7.7	2.3	2	7.4
